Time(s)	I(VDD)	V(107)
5.19e-08	-6.89077e-05	1.19231
5.2e-08	-7.0804e-05	1.2624
5.21e-08	-7.27014e-05	1.3352
5.22e-08	-7.47316e-05	1.41067
5.23e-08	-7.67253e-05	1.48878
5.24e-08	-7.87915e-05	1.56951
5.25e-08	-8.07344e-05	1.65284
5.26e-08	-8.26307e-05	1.73874
5.27e-08	-8.42466e-05	1.82717
5.28e-08	-8.14367e-05	1.91551
5.29e-08	-8.17916e-05	2.00336
5.3e-08	-8.03738e-05	2.09216
5.31e-08	-7.69983e-05	2.18029
5.32e-08	-7.35965e-05	2.26624
5.33e-08	-6.97631e-05	2.34865
5.34e-08	-6.52304e-05	2.42641
5.35e-08	-6.00877e-05	2.49869
5.36e-08	-5.4712e-05	2.56495
5.37e-08	-4.91692e-05	2.6249
5.38e-08	-4.37829e-05	2.67854
5.39e-08	-3.85478e-05	2.72601
5.4e-08	-3.37098e-05	2.76764
5.41e-08	-2.91878e-05	2.80384
5.42e-08	-2.51605e-05	2.83509
5.43e-08	-2.14917e-05	2.8619
5.44e-08	-1.83174e-05	2.88476
5.45e-08	-1.54703e-05	2.90417
5.46e-08	-1.30662e-05	2.92056
5.47e-08	-1.0926e-05	2.93436
5.48e-08	-9.1599e-06	2.94593
5.49e-08	-7.58821e-06	2.9556
5.5e-08	-6.32351e-06	2.96364
5.51e-08	-5.19069e-06	2.97032
5.52e-08	-4.30785e-06	2.97584
5.53e-08	-3.506e-06	2.98037
5.54e-08	-2.90614e-06	2.98409
5.55e-08	-2.34806e-06	2.9871
5.56e-08	-1.95995e-06	2.98953
5.57e-08	-1.57883e-06	2.99149
5.58e-08	-1.33602e-06	2.99305
5.59e-08	-1.07427e-06	2.99431
5.6e-08	-9.28825e-07	2.99531
5.61e-08	-7.46442e-07	2.99611
5.62e-08	-6.65367e-07	2.99675
5.63e-08	-5.35137e-07	2.99725
5.64e-08	-4.96127e-07	2.99766
5.65e-08	-3.99795e-07	2.99798
5.66e-08	-3.87973e-07	2.99824
5.67e-08	-3.13443e-07	2.99844
5.68e-08	-3.19009e-07	2.9986
5.69e-08	-2.58358e-07	2.99873
5.7e-08	-2.74927e-07	2.99884
5.71e-08	-2.23019e-07	2.99892
5.72e-08	-2.46472e-07	2.99899
5.73e-08	-2.0001e-07	2.99905
5.74e-08	-2.27718e-07	2.99909
5.75e-08	-1.8461e-07	2.99913
5.76e-08	-2.1491e-07	2.99916
5.77e-08	-1.7384e-07	2.99919
5.78e-08	-2.05694e-07	2.99922
5.79e-08	-1.65843e-07	2.99924
5.8e-08	-1.98608e-07	2.99926
5.81e-08	-1.59474e-07	2.99928
5.82e-08	-1.92759e-07	2.99929
5.83e-08	-1.54036e-07	2.99931
5.84e-08	-1.87606e-07	2.99932
5.85e-08	-1.49115e-07	2.99934
5.86e-08	-1.82832e-07	2.99935
5.87e-08	-1.44467e-07	2.99937
5.88e-08	-1.78252e-07	2.99938
5.89e-08	-1.39955e-07	2.99939
5.9e-08	-1.73766e-07	2.99941
5.91e-08	-1.35507e-07	2.99942
5.92e-08	-1.69322e-07	2.99943
5.93e-08	-1.31087e-07	2.99944
5.94e-08	-1.64899e-07	2.99946
5.95e-08	-1.26684e-07	2.99947
5.96e-08	-1.6049e-07	2.99948
5.97e-08	-1.22295e-07	2.99949
5.98e-08	-1.561e-07	2.9995
5.99e-08	-1.17929e-07	2.99951
6e-08	-1.51737e-07	2.99952
6.01e-08	-1.13596e-07	2.99954
6.02e-08	-1.47411e-07	2.99955
6.03e-08	-1.09305e-07	2.99956
6.04e-08	-1.43134e-07	2.99957
6.05e-08	-1.05069e-07	2.99958
6.06e-08	-1.38917e-07	2.99959
6.07e-08	-1.00897e-07	2.9996
6.08e-08	-1.3477e-07	2.99961
6.09e-08	-9.68005e-08	2.99962
6.1e-08	-1.30701e-07	2.99963
6.11e-08	-9.27867e-08	2.99963
6.12e-08	-1.2672e-07	2.99964
6.13e-08	-8.88631e-08	2.99965
6.14e-08	-1.22832e-07	2.99966
6.15e-08	-8.50359e-08	2.99967
